Unnamed: 0_level_0_Week,Unnamed: 1_level_0_Day,Unnamed: 2_level_0_Date,Unnamed: 3_level_0_Unnamed: 3_level_1,Unnamed: 4_level_0_Unnamed: 4_level_1,Unnamed: 5_level_0_OT,Unnamed: 6_level_0_Unnamed: 6_level_1,Unnamed: 7_level_0_Opp,Score_Tm,Score_Opp,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Y/A,Passing_NY/A,Passing_Cmp%,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_Y/A,Rushing_TD,Scoring_FGM,Scoring_FGA,Scoring_XPM,Scoring_XPA,Punting_Pnt,Punting_Yds,Downs_3DConv,Downs_3DAtt,Downs_4DConv,Downs_4DAtt,Unnamed: 35_level_0_ToP,OriginalTable
1,Sun,September 10,boxscore,L,,,Green Bay Packers,20,38,24,37,189,1,1,4,27,5.8,4.6,64.9,75.2,29,122,4.2,1,2,2,0,0,4,212,3,13,1,2,30:43,Table_1
2,Sun,September 17,boxscore,L,,@,Tampa Bay Buccaneers,17,27,16,29,169,1,2,6,42,7.3,4.8,55.2,55.1,16,67,4.2,1,1,1,2,2,5,232,6,13,0,0,24:04,Table_1
3,Sun,September 24,boxscore,L,,@,Kansas City Chiefs,10,41,11,22,87,1,1,3,12,4.5,3.5,50.0,56.4,26,116,4.5,0,1,1,1,1,5,229,4,12,1,2,23:47,Table_1
4,Sun,October 1,boxscore,L,,,Denver Broncos,28,31,28,35,300,4,1,4,35,9.6,7.7,80.0,128.6,31,171,5.5,0,0,0,4,4,2,90,6,12,1,3,33:49,Table_1
5,Thu,October 5,boxscore,W,,@,Washington Commanders,40,20,15,29,273,4,0,3,9,9.7,8.5,51.7,124.0,32,178,5.6,0,4,4,4,4,3,131,7,15,1,1,30:04,Table_1
6,Sun,October 15,boxscore,L,,,Minnesota Vikings,13,19,16,24,113,0,2,5,28,5.9,3.9,66.7,42.5,36,162,4.5,1,2,2,1,1,4,176,6,14,0,1,35:11,Table_1
7,Sun,October 22,boxscore,W,,,Las Vegas Raiders,30,12,21,29,150,1,0,2,12,5.6,4.8,72.4,95.5,38,173,4.6,2,1,1,3,4,3,120,8,13,0,1,34:06,Table_1
8,Sun,October 29,boxscore,L,,@,Los Angeles Chargers,13,30,25,37,222,0,2,1,10,6.3,5.8,67.6,60.9,25,73,2.9,2,0,0,1,1,3,126,6,14,1,4,28:32,Table_1
9,Sun,November 5,boxscore,L,,@,New Orleans Saints,17,24,18,30,212,2,3,2,8,7.3,6.6,60.0,64.2,32,156,4.9,0,1,2,2,2,2,95,6,12,1,1,30:40,Table_1
10,Thu,November 9,boxscore,W,,,Carolina Panthers,16,13,20,33,162,0,0,0,0,4.9,4.9,60.6,73.0,37,133,3.6,1,3,3,1,1,6,280,6,15,1,1,33:31,Table_1
11,Sun,November 19,boxscore,L,,@,Detroit Lions,26,31,16,23,151,1,0,2,18,7.3,6.0,69.6,101.9,46,183,4.0,1,4,4,2,2,2,91,5,13,2,2,40:24,Table_1
12,Mon,November 27,boxscore,W,,@,Minnesota Vikings,12,10,27,37,199,0,0,3,18,5.9,5.0,73.0,85.3,28,118,4.2,0,4,5,0,0,3,137,8,18,1,1,35:50,Table_1
14,Sun,December 10,boxscore,W,,,Detroit Lions,28,13,19,33,194,1,0,3,29,6.8,5.4,57.6,84.7,30,142,4.7,2,3,3,1,2,3,129,6,14,1,2,33:19,Table_1
15,Sun,December 17,boxscore,L,,@,Cleveland Browns,17,20,19,40,148,1,2,3,18,4.2,3.4,47.5,44.6,27,88,3.3,0,1,1,2,2,10,448,4,18,0,2,29:00,Table_1
16,Sun,December 24,boxscore,W,,,Arizona Cardinals,27,16,15,27,170,1,1,1,0,6.3,6.1,55.6,71.5,39,250,6.4,2,2,2,3,3,5,260,8,15,0,0,34:32,Table_1
17,Sun,December 31,boxscore,W,,,Atlanta Falcons,37,17,20,32,240,1,0,3,28,8.4,6.9,62.5,95.8,37,192,5.2,3,3,4,4,4,4,195,6,16,1,2,37:14,Table_1
18,Sun,January 7,boxscore,L,,@,Green Bay Packers,9,17,11,16,117,0,0,5,31,9.3,5.6,68.8,89.8,25,75,3.0,0,3,3,0,0,3,137,3,11,1,1,28:36,Table_1
